epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,734.55,1.08417,0.6572,1.05478,0.91873,0.85389,0.90661,0.52401,1.40189,0.82686,1.18529,0.000346736,0.000346736,0.000346736
82,743.462,1.06335,0.65683,1.04638,0.89574,0.80491,0.88092,0.53738,1.36916,0.83916,1.18192,0.000330233,0.000330233,0.000330233
83,752.362,1.06356,0.64658,1.04097,0.91443,0.8276,0.887,0.53219,1.39068,0.83611,1.21124,0.000313729,0.000313729,0.000313729
84,761.366,1.07515,0.66005,1.03419,0.93223,0.85352,0.89677,0.5373,1.40154,0.81348,1.17278,0.000297226,0.000297226,0.000297226
85,770.26,1.0796,0.6484,1.04444,0.9186,0.85147,0.90116,0.55817,1.34067,0.76758,1.18829,0.000280723,0.000280723,0.000280723
86,779.201,1.06258,0.6471,1.04396,0.87135,0.84524,0.89413,0.5461,1.38482,0.78877,1.2317,0.00026422,0.00026422,0.00026422
87,788.081,1.053,0.6404,1.02365,0.87935,0.8453,0.88744,0.54295,1.35263,0.77851,1.1862,0.000247716,0.000247716,0.000247716
88,797.069,1.04607,0.64365,1.04237,0.88725,0.85912,0.9028,0.55198,1.30661,0.78538,1.18825,0.000231213,0.000231213,0.000231213
89,805.973,1.04579,0.65007,1.0321,0.90977,0.86007,0.90416,0.5667,1.29964,0.76144,1.15723,0.00021471,0.00021471,0.00021471
90,814.912,1.02178,0.64198,1.03111,0.93736,0.85619,0.90678,0.56574,1.32068,0.7494,1.15664,0.000198206,0.000198206,0.000198206
91,825.168,1.01719,0.64164,1.03287,0.89967,0.84545,0.89376,0.54203,1.34235,0.79946,1.19889,0.000181703,0.000181703,0.000181703
92,834.13,1.00888,0.62219,1.0141,0.91648,0.86994,0.91011,0.55158,1.31879,0.78758,1.18174,0.0001652,0.0001652,0.0001652
93,843.042,0.97008,0.61312,1.00795,0.94245,0.84081,0.90198,0.55266,1.34334,0.79304,1.20023,0.000148696,0.000148696,0.000148696
94,851.979,0.97787,0.60842,1.00823,0.91255,0.84911,0.89534,0.56,1.34419,0.79621,1.19828,0.000132193,0.000132193,0.000132193
95,860.942,0.95728,0.5979,0.99579,0.92852,0.85952,0.90673,0.56064,1.31444,0.77359,1.18603,0.00011569,0.00011569,0.00011569
96,869.807,0.94658,0.59007,1.00031,0.94373,0.86819,0.91112,0.56502,1.32053,0.76989,1.17667,9.91865e-05,9.91865e-05,9.91865e-05
97,878.745,0.94959,0.58136,1.00399,0.94679,0.85432,0.90762,0.55988,1.31974,0.78747,1.16851,8.26832e-05,8.26832e-05,8.26832e-05
98,887.736,0.92302,0.56688,0.98568,0.9435,0.85952,0.90921,0.55197,1.34648,0.7647,1.16596,6.61799e-05,6.61799e-05,6.61799e-05
99,896.697,0.93808,0.58362,0.98868,0.95281,0.85952,0.91119,0.5577,1.34778,0.74841,1.16696,4.96766e-05,4.96766e-05,4.96766e-05
100,905.63,0.95837,0.59387,1.00502,0.95237,0.86103,0.91254,0.56119,1.32616,0.75567,1.16757,3.31733e-05,3.31733e-05,3.31733e-05
